latitude,longitude,filename,sst,chlor_a,Kd_490
-29.041725,31.655401,AQUA_MODIS.20200127T122501.L2.OC.nc,,10.221844,0.778
-29.041725,31.67662,AQUA_MODIS.20200127T122501.L2.OC.nc,,10.249465,0.7808
-29.041725,31.69784,AQUA_MODIS.20200127T122501.L2.OC.nc,,9.051006,0.6652
-29.041725,31.719057,AQUA_MODIS.20200127T122501.L2.OC.nc,,8.464999,0.61219996
-29.041725,31.740276,AQUA_MODIS.20200127T122501.L2.OC.nc,,7.3771744,0.5196
-29.041725,31.761496,AQUA_MODIS.20200127T122501.L2.OC.nc,,6.744183,0.4692
-29.041725,31.782713,AQUA_MODIS.20200127T122501.L2.OC.nc,,6.1609263,0.42459998
-29.041725,31.803932,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.6695685,0.3886
-29.041725,31.825151,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.8315477,0.40039998
-29.041725,31.846369,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.3835425,0.36839998
-29.041725,31.867588,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.8383846,0.3308
-29.041725,31.888807,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.8154945,0.3292
-29.041725,31.910025,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.623254,0.3164
-29.041725,31.931244,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.810576,0.3288
-29.041725,31.952463,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.8094316,0.3288
-29.041725,31.97368,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.473577,0.3064
-29.041725,31.9949,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.6618156,0.319
-29.041725,32.01612,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.4404693,0.3042
-29.041725,32.03734,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.781223,0.3268
-29.031303,31.655401,AQUA_MODIS.20200127T122501.L2.OC.nc,,9.58633,0.71559995
-29.031303,31.67662,AQUA_MODIS.20200127T122501.L2.OC.nc,,9.362929,0.69439995
-29.031303,31.69784,AQUA_MODIS.20200127T122501.L2.OC.nc,,8.822835,0.6444
-29.031303,31.719057,AQUA_MODIS.20200127T122501.L2.OC.nc,,7.925052,0.5654
-29.031303,31.740276,AQUA_MODIS.20200127T122501.L2.OC.nc,,6.958376,0.486
-29.031303,31.761496,AQUA_MODIS.20200127T122501.L2.OC.nc,,6.285545,0.434
-29.031303,31.782713,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.544484,0.3798
-29.031303,31.803932,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.612941,0.38459998
-29.031303,31.825151,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.3630924,0.36679998
-29.031303,31.846369,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.0824285,0.34739998
-29.031303,31.867588,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.075713,0.347
-29.031303,31.888807,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.930254,0.33699998
-29.031303,31.910025,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.8954997,0.3346
-29.031303,31.931244,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.8144045,0.3292
-29.031303,31.952463,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.6682863,0.31939998
-29.031303,31.97368,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.587861,0.31399998
-29.031303,31.9949,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.530983,0.3102
-29.031303,32.01612,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.3183,0.29639998
-29.031303,32.03734,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.7969036,0.32799998
-29.031303,32.058556,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.0382733,0.2784
-29.020882,31.67662,AQUA_MODIS.20200127T122501.L2.OC.nc,,8.47144,0.6128
-29.020882,31.69784,AQUA_MODIS.20200127T122501.L2.OC.nc,,8.15801,0.5854
-29.020882,31.719057,AQUA_MODIS.20200127T122501.L2.OC.nc,,8.011382,0.5728
-29.020882,31.740276,AQUA_MODIS.20200127T122501.L2.OC.nc,,6.9875293,0.48819998
-29.020882,31.761496,AQUA_MODIS.20200127T122501.L2.OC.nc,,6.7965217,0.4732
-29.020882,31.782713,AQUA_MODIS.20200127T122501.L2.OC.nc,,6.094198,0.41959998
-29.020882,31.803932,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.8462,0.4014
-29.020882,31.825151,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.167996,0.3532
-29.020882,31.846369,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.201654,0.3556
-29.020882,31.867588,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.9702425,0.3396
-29.020882,31.888807,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.29076,0.3618
-29.020882,31.910025,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.028703,0.3436
-29.020882,31.931244,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.9641266,0.3392
-29.020882,31.952463,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.3860674,0.3008
-29.020882,31.97368,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.6447034,0.3178
-29.020882,31.9949,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.4043546,0.302
-29.020882,32.01612,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.2518196,0.292
-29.020882,32.03734,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.203704,0.289
-29.020882,32.058556,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.9189894,0.2708
-29.01046,31.69784,AQUA_MODIS.20200127T122501.L2.OC.nc,,9.1680765,0.676
-29.01046,31.719057,AQUA_MODIS.20200127T122501.L2.OC.nc,,8.239831,0.5924
-29.01046,31.740276,AQUA_MODIS.20200127T122501.L2.OC.nc,,7.8833337,0.5618
-29.01046,31.761496,AQUA_MODIS.20200127T122501.L2.OC.nc,,7.081953,0.4958
-29.01046,31.782713,AQUA_MODIS.20200127T122501.L2.OC.nc,,6.417798,0.44399998
-29.01046,31.803932,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.8708434,0.4032
-29.01046,31.825151,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.5192676,0.378
-29.01046,31.846369,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.8132286,0.399
-29.01046,31.867588,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.3262997,0.3642
-29.01046,31.888807,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.2268972,0.3574
-29.01046,31.910025,AQUA_MODIS.20200127T122501.L2.OC.nc,,5.264291,0.35999998
-29.01046,31.931244,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.7694244,0.32619998
-29.01046,31.952463,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.6994877,0.3214
-29.01046,31.97368,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.512399,0.309
-29.01046,31.9949,AQUA_MODIS.20200127T122501.L2.OC.nc,,4.3359175,0.2974
-29.01046,32.01612,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.989084,0.27519998
-29.01046,32.03734,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.9031224,0.2698
-29.01046,32.058556,AQUA_MODIS.20200127T122501.L2.OC.nc,,3.7596622,0.2608
-29.00004,31.69784,AQUA_MODIS.20200127T122501.L2.OC.nc,,9.250855,0.6838
